"Directory","TotalFiles","WithDocblocks","MissingDocblocks","ContainsSpanish"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Console\Commands","9","5","4","2"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers","17","15","2","8"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin","16","16","0","13"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Admin\Auth","1",,"1","0"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Api","2","2","0",
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Controllers\Auth","10","10","0","0"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Middleware","14","14","0","4"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Requests","2","2","0","0"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Http\Requests\Auth","1",,"1","0"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Models","25","22","3","9"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Notifications","1",,"1","0"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Policies","3","3","0","0"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Providers","1",,"1","0"
"C:\wamp64\www\notapp\mdrconstrucciones\app\Services","3","3","0","2"
